"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","501","Итоговая стоимость нескольких товаров с учетом комиссии должна быть корректной","tests","Sun Mar 15 10:25:58 UTC 2026","passed","Sun Mar 15 10:25:58 UTC 2026","TestCartPage","Корзина","",""
"","10858","Поиск товара на главной странице","tests","Sun Mar 15 10:24:57 UTC 2026","passed","Sun Mar 15 10:25:08 UTC 2026","TestMainPage","Главная страница","",""
"","2442","Если корзина пуста, пользователь увидит сообщение","tests","Sun Mar 15 10:24:49 UTC 2026","passed","Sun Mar 15 10:24:51 UTC 2026","TestCartPage","Корзина","",""
"","7169","Поиск товара на главной странице","tests","Sun Mar 15 10:24:36 UTC 2026","failed","Sun Mar 15 10:24:43 UTC 2026","TestMainPage","Главная страница","",""
"","4461","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:48 UTC 2026","passed","Sun Mar 15 10:25:52 UTC 2026","TestProductPage","Страница товара","",""
"","6261","Поиск товара на главной странице","tests","Sun Mar 15 10:24:43 UTC 2026","passed","Sun Mar 15 10:24:49 UTC 2026","TestMainPage","Главная страница","",""
"","4808","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:26:22 UTC 2026","passed","Sun Mar 15 10:26:27 UTC 2026","TestProductPage","Страница товара","",""
"","17591","Создание аккаунта","tests","Sun Mar 15 10:24:02 UTC 2026","passed","Sun Mar 15 10:24:19 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","36810","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:26:40 UTC 2026","skipped","Sun Mar 15 10:27:17 UTC 2026","TestProductPage","Страница товара","",""
"","3950","Переход на страницу создания аккаунта","tests","Sun Mar 15 10:24:20 UTC 2026","passed","Sun Mar 15 10:24:24 UTC 2026","TestLoginPage","Страница логина","",""
"","8158","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:27:01 UTC 2026","passed","Sun Mar 15 10:27:09 UTC 2026","TestProductPage","Страница товара","",""
"","3030","Удаленный товар не должен отображаться в списке товаров","tests","Sun Mar 15 10:26:29 UTC 2026","passed","Sun Mar 15 10:26:32 UTC 2026","TestCartPage","Корзина","",""
"","3614","Переход на страницу корзины","tests","Sun Mar 15 10:24:01 UTC 2026","passed","Sun Mar 15 10:24:04 UTC 2026","TestMainPage","Главная страница","",""
"","3584","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:26:08 UTC 2026","passed","Sun Mar 15 10:26:11 UTC 2026","TestProductPage","Страница товара","",""
"","7092","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:26:56 UTC 2026","passed","Sun Mar 15 10:27:03 UTC 2026","TestProductPage","Страница товара","",""
"","4288","Перейти в аккаунт","tests","Sun Mar 15 10:24:19 UTC 2026","passed","Sun Mar 15 10:24:23 UTC 2026","TestMainPage","Главная страница","",""
"","7675","Проверка плэйсхолдеров формы авторизации","tests","Sun Mar 15 10:24:13 UTC 2026","passed","Sun Mar 15 10:24:21 UTC 2026","TestLoginPage","Страница логина","",""
"","5002","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:26:39 UTC 2026","passed","Sun Mar 15 10:26:44 UTC 2026","TestProductPage","Страница товара","",""
"","3038","Переход на страницу логина","tests","Sun Mar 15 10:24:36 UTC 2026","passed","Sun Mar 15 10:24:39 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","6072","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:52 UTC 2026","passed","Sun Mar 15 10:26:58 UTC 2026","TestProductPage","Страница товара","",""
"","2523","Проверка плэйсхолдеров формы регистрации","tests","Sun Mar 15 10:24:33 UTC 2026","passed","Sun Mar 15 10:24:35 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","35084","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:26:08 UTC 2026","skipped","Sun Mar 15 10:26:43 UTC 2026","TestProductPage","Страница товара","",""
"","6803","Поиск несуществующего товара на главной странице","tests","Sun Mar 15 10:24:26 UTC 2026","passed","Sun Mar 15 10:24:32 UTC 2026","TestMainPage","Главная страница","",""
"","1002","Итоговая стоимость одной единицы товара без комиссии должна быть корректной","tests","Sun Mar 15 10:24:48 UTC 2026","passed","Sun Mar 15 10:24:49 UTC 2026","TestCartPage","Корзина","",""
"","7200","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:27:07 UTC 2026","passed","Sun Mar 15 10:27:15 UTC 2026","TestProductPage","Страница товара","",""
"","1405","Комиссия (налог) на несколько товаров должна составлять 15 процентов от общей стоимости","tests","Sun Mar 15 10:25:36 UTC 2026","passed","Sun Mar 15 10:25:38 UTC 2026","TestCartPage","Корзина","",""
"","66","Проверка полной информации о товаре на странице","tests","Sun Mar 15 10:25:45 UTC 2026","passed","Sun Mar 15 10:25:46 UTC 2026","TestProductPage","Страница товара","",""
"","5506","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:25:46 UTC 2026","passed","Sun Mar 15 10:25:51 UTC 2026","TestProductPage","Страница товара","",""
"","6380","Поиск товара на главной странице","tests","Sun Mar 15 10:24:50 UTC 2026","failed","Sun Mar 15 10:24:57 UTC 2026","TestMainPage","Главная страница","",""
"","1071","Комиссия (налог) на один товар должна составлять 15 процентов от общей стоимости","tests","Sun Mar 15 10:24:49 UTC 2026","passed","Sun Mar 15 10:24:50 UTC 2026","TestCartPage","Корзина","",""
"","3264","Нельзя создать аккаунт, если пароли в инпутах Password и Confirm Password не идентичны","tests","Sun Mar 15 10:24:45 UTC 2026","passed","Sun Mar 15 10:24:48 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","6617","Наименование товара в козине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:13 UTC 2026","passed","Sun Mar 15 10:26:20 UTC 2026","TestProductPage","Страница товара","",""
"","1978","Итоговая стоимость одного товара с учетом комиссии должна быть корректной","tests","Sun Mar 15 10:25:00 UTC 2026","passed","Sun Mar 15 10:25:02 UTC 2026","TestCartPage","Корзина","",""
"","5231","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:27:19 UTC 2026","passed","Sun Mar 15 10:27:24 UTC 2026","TestProductPage","Страница товара","",""
"","7599","Наименование товара в козине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:29 UTC 2026","passed","Sun Mar 15 10:26:37 UTC 2026","TestProductPage","Страница товара","",""
"","5257","Отображается сообщение ""Корзина пуста"" после удаления единственного товара из козины","tests","Sun Mar 15 10:25:00 UTC 2026","passed","Sun Mar 15 10:25:05 UTC 2026","TestCartPage","Корзина","",""
"","34986","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:26:29 UTC 2026","skipped","Sun Mar 15 10:27:04 UTC 2026","TestProductPage","Страница товара","",""
"","12366","Поиск товара на главной странице","tests","Sun Mar 15 10:24:13 UTC 2026","passed","Sun Mar 15 10:24:25 UTC 2026","TestMainPage","Главная страница","",""
"","4645","Нельзя создать аккаунт, если email уже занят","tests","Sun Mar 15 10:24:40 UTC 2026","passed","Sun Mar 15 10:24:45 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","7245","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:57 UTC 2026","passed","Sun Mar 15 10:27:04 UTC 2026","TestProductPage","Страница товара","",""
"","3059","Закрытие модалки ""Добавить в корзину""","tests","Sun Mar 15 10:25:53 UTC 2026","passed","Sun Mar 15 10:25:56 UTC 2026","TestProductPage","Страница товара","",""
"","6110","Поиск товара на главной странице","tests","Sun Mar 15 10:24:34 UTC 2026","passed","Sun Mar 15 10:24:40 UTC 2026","TestMainPage","Главная страница","",""
"","5024","Наименование товара в козине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:01 UTC 2026","passed","Sun Mar 15 10:26:06 UTC 2026","TestProductPage","Страница товара","",""
"","9832","Поиск товара на главной странице","tests","Sun Mar 15 10:25:08 UTC 2026","passed","Sun Mar 15 10:25:18 UTC 2026","TestMainPage","Главная страница","",""
"","9051","Наименование и цена товара в модалке корректные","tests","Sun Mar 15 10:25:23 UTC 2026","passed","Sun Mar 15 10:25:32 UTC 2026","TestProductPage","Страница товара","",""
"","8961","Наименование товара в козине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:41 UTC 2026","passed","Sun Mar 15 10:26:50 UTC 2026","TestProductPage","Страница товара","",""
"","5561","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:33 UTC 2026","passed","Sun Mar 15 10:26:38 UTC 2026","TestProductPage","Страница товара","",""
"","6908","Наименование товара в козине меняется в соответствии с опциями","tests","Sun Mar 15 10:25:59 UTC 2026","passed","Sun Mar 15 10:26:06 UTC 2026","TestProductPage","Страница товара","",""
"","34936","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:54 UTC 2026","skipped","Sun Mar 15 10:26:29 UTC 2026","TestProductPage","Страница товара","",""
"","4199","Переход на страницу логина","tests","Sun Mar 15 10:24:36 UTC 2026","passed","Sun Mar 15 10:24:41 UTC 2026","TestMainPage","Главная страница","",""
"","4053","Цена стола из алюминия отличается от дефолтной","tests","Sun Mar 15 10:26:34 UTC 2026","passed","Sun Mar 15 10:26:38 UTC 2026","TestProductPage","Страница товара","",""
"","3465","Выйти из аккаунта","tests","Sun Mar 15 10:24:33 UTC 2026","passed","Sun Mar 15 10:24:36 UTC 2026","TestMainPage","Главная страница","",""
"","5134","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:36 UTC 2026","passed","Sun Mar 15 10:25:41 UTC 2026","TestProductPage","Страница товара","",""
"","5728","Проверка плэйсхолдера в инпуте поиска товара","tests","Sun Mar 15 10:24:21 UTC 2026","passed","Sun Mar 15 10:24:27 UTC 2026","TestMainPage","Главная страница","",""
"","9033","Авторизация пользователя","tests","Sun Mar 15 10:24:24 UTC 2026","passed","Sun Mar 15 10:24:33 UTC 2026","TestLoginPage","Страница логина","",""
"","5635","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:48 UTC 2026","passed","Sun Mar 15 10:26:53 UTC 2026","TestProductPage","Страница товара","",""
"","4433","Добавление товара в корзину","tests","Sun Mar 15 10:25:38 UTC 2026","passed","Sun Mar 15 10:25:43 UTC 2026","TestProductPage","Страница товара","",""
"","8834","Нельзя авторизоваться, незарегистрированным пользователем","tests","Sun Mar 15 10:24:04 UTC 2026","passed","Sun Mar 15 10:24:12 UTC 2026","TestLoginPage","Страница логина","",""
"","33849","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:44 UTC 2026","skipped","Sun Mar 15 10:26:18 UTC 2026","TestProductPage","Страница товара","",""
"","4768","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:27:09 UTC 2026","passed","Sun Mar 15 10:27:14 UTC 2026","TestProductPage","Страница товара","",""
"","10177","Выбор товара на главной странице","tests","Sun Mar 15 10:24:02 UTC 2026","passed","Sun Mar 15 10:24:13 UTC 2026","TestMainPage","Главная страница","",""
"","5837","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:21 UTC 2026","passed","Sun Mar 15 10:26:27 UTC 2026","TestProductPage","Страница товара","",""
"","6030","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:26:48 UTC 2026","passed","Sun Mar 15 10:26:54 UTC 2026","TestProductPage","Страница товара","",""
"","541","Итоговая стоимость нескольких товаров без комиссии должна быть корректной","tests","Sun Mar 15 10:25:43 UTC 2026","passed","Sun Mar 15 10:25:43 UTC 2026","TestCartPage","Корзина","",""
